ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
1004,1 - 2 months,DWC,Recurrent,1,2.26,309.1,224,0.2868,HDM,NO,HDZ,YES
1005,More than 12 months,DWOC,Recurrent,108,93.56,265.09,22539,0.5709,HDM,NO,HDZ,NO
1006,7-12 months,DWC,Recurrent,267,140.03,240,47078,0.7367,HDM,NO,HDZ,NO
1007,1 - 2 months,DWC,New,1,1.06,142.69,137,0.4013,HDM,NO,LDZ,YES
1008,3 - 6 months,DWC,Recurrent,62,37.77,263.75,12219,0.7898,LDM,NO,HDZ,YES
1009,3 - 6 months,DWC,Recurrent,68,39.35,171.56,10387,0.5937,LDM,NO,HDZ,NO
1010,1 - 2 months,DWC,New,1,0.52,105.94,101,0.6783,HDM,NO,HDZ,YES
1011,3 - 6 months,DWC,Recurrent,36,31.8,192.31,5908,0.4289,LDM,NO,LDZ,YES
1012,More than 12 months,DWC,Recurrent,12,15.66,240.95,2159,0.2368,HDM,NO,HDZ,NO
1013,7-12 months,DWC,Recurrent,111,63.56,249.64,20228,0.7134,HDM,YES,HDZ,NO
1014,More than 12 months,DWC,Recurrent,152,127.08,297.99,35770,0.6967,HDM,YES,HDZ,NO
1015,7-12 months,DWC,Recurrent,42,31.76,237.62,8231,0.6854,HDM,NO,HDZ,NO
1016,More than 12 months,DWC,Recurrent,32,14.08,150.84,4640,0.6786,LDM,NO,LDZ,YES
1017,1 - 2 months,DWC,New,10,18.07,243.1,2121,0.2785,HDM,NO,HDZ,YES
1018,1 - 2 months,DWC,New,5,6.69,220.82,1063,0.3541,HDM,NO,LDZ,YES
1019,1 - 2 months,DWC,New,1,0.78,132.99,127,0.4896,HDM,NO,LDZ,YES
1020,7-12 months,DWC,Reactivated,2,1.78,307.1,540,0.6554,HDM,NO,LDZ,YES
1021,1 - 2 months,DWC,Recurrent,1,4.41,217.25,208,0.1877,HDM,NO,LDZ,YES
1022,3 - 6 months,DWC,Recurrent,234,129.97,230.57,39670,0.7931,HDM,YES,HDZ,NO
1023,3 - 6 months,DWC,Recurrent,160,135.27,205.49,26973,0.4682,HDM,NO,HDZ,NO
1024,7-12 months,DWC,Recurrent,144,81.62,253.18,27058,0.7034,HDM,NO,HDZ,YES
1025,1 - 2 months,DWC,New,7,12.9,298.32,2006,0.3363,HDM,NO,LDZ,YES
1026,1 - 2 months,DWC,Recurrent,1,1.23,590,565,0.9031,HDM,NO,LDZ,YES
1027,More than 12 months,DWC,Recurrent,193,117.66,279.98,40261,0.6724,HDM,YES,HDZ,NO
1028,1 - 2 months,DWC,New,4,4.47,59.13,226,0.2174,LDM,NO,LDZ,YES
1029,1 - 2 months,DWC,New,1,2.55,300.08,287,0.3779,HDM,NO,HDZ,YES
1030,3 - 6 months,DWOC,Recurrent,17,7.77,233.68,2868,0.7278,HDM,YES,HDZ,YES
1031,More than 12 months,DWC,Recurrent,212,119.07,245.49,39472,0.8137,HDM,YES,HDZ,NO
1032,3 - 6 months,DWC,Recurrent,331,288.49,364.84,90767,0.6003,HDM,YES,HDZ,NO
1033,3 - 6 months,DWC,Recurrent,189,117.55,174.82,26846,0.5738,HDM,NO,HDZ,NO
1034,7-12 months,DWC,Recurrent,20,11.64,170.35,2601,0.6457,HDM,NO,HDZ,NO
1035,7-12 months,DWC,Recurrent,29,36.32,279.58,6442,0.4905,HDM,NO,HDZ,NO
1036,1 - 2 months,DWC,New,6,5.24,225.3,1227,0.5579,LDM,NO,LDZ,NO
1037,3 - 6 months,DWC,Recurrent,91,74.61,256.87,17720,0.6142,HDM,NO,HDZ,YES
1038,7-12 months,DWC,Recurrent,9,8.05,250.92,2179,0.4258,HDM,NO,LDZ,NO
1039,1 - 2 months,DWC,New,5,4.99,156.92,605,0.2214,LDM,NO,HDZ,YES
1040,7-12 months,DWC,Recurrent,172,85.7,282.97,36352,0.731,HDM,YES,HDZ,NO
1041,1 - 2 months,DWC,Recurrent,106,72.03,129.26,12840,0.4138,HDM,NO,LDZ,NO
1042,7-12 months,DWC,Reactivated,49,26.26,249.6,9150,0.7369,HDM,NO,HDZ,NO
1043,3 - 6 months,DWC,Recurrent,9,10.7,221.48,1747,0.4108,HDM,NO,LDZ,YES
1044,1 - 2 months,DWC,New,8,6.31,180.92,1274,0.5587,HDM,NO,HDZ,YES
1045,More than 12 months,DWC,Recurrent,125,205.36,498.31,48474,0.47,HDM,YES,HDZ,NO
1046,1 - 2 months,DWC,Recurrent,8,20.26,140.85,1078,0.1623,HDM,NO,LDZ,YES
1047,3 - 6 months,DWC,Reactivated,7,17.43,235.1,1363,0.8506,LDM,NO,HDZ,YES
1048,1 - 2 months,DWC,Recurrent,8,11.77,155.43,1190,0.3471,LDM,NO,LDZ,YES
1049,1 - 2 months,DWC,Recurrent,28,91.47,942.58,20160,0.2726,HDM,NO,HDZ,YES
1050,1 - 2 months,DWC,New,5,8.89,200.84,749,0.2385,HDM,NO,LDZ,YES
1051,3 - 6 months,DWC,Recurrent,9,5.44,169.76,1437,0.7411,LDM,NO,HDZ,YES
1052,More than 12 months,DWOC,Recurrent,16,11.46,224.81,2591,0.5616,HDM,NO,HDZ,NO
1053,3 - 6 months,DWC,Reactivated,1,2.16,145.5,105,0.193,HDM,NO,HDZ,YES
1054,1 - 2 months,DWC,Recurrent,274,229,178.25,44954,0.496,HDM,NO,HDZ,NO
1055,1 - 2 months,DWOC,Recurrent,46,28.05,280.45,9842,0.7902,HDM,YES,HDZ,YES
1056,7-12 months,DWC,Recurrent,194,134.18,301.96,45480,0.6668,HDM,YES,HDZ,NO
1057,1 - 2 months,DWC,New,1,4.27,78.38,75,0.0867,HDM,NO,LDZ,YES
1058,1 - 2 months,DWC,Recurrent,4,5.81,130.04,498,0.2589,HDM,NO,LDZ,YES
1059,3 - 6 months,DWC,Recurrent,5,4.29,45.89,165,0.1395,HDM,NO,HDZ,NO
1060,7-12 months,DWC,Recurrent,77,80.47,403.62,23921,0.6856,HDM,YES,HDZ,NO
1061,More than 12 months,DWC,Recurrent,85,52.58,301.2,18797,0.8284,HDM,YES,HDZ,NO
1062,1 - 2 months,DWC,New,16,20.36,217.97,3200,0.374,HDM,NO,LDZ,YES
1063,7-12 months,DWC,Recurrent,376,224.36,256.58,70012,0.7364,HDM,NO,HDZ,NO
1064,7-12 months,DWOC,Recurrent,150,113.96,311.11,34883,0.729,HDM,YES,HDZ,NO
